PIMS Tag Name,Source Tag Property ID,Source Tag Path
"D550_VHV623A3.PERCENTAGE _OPEN.PV",152840918649995300,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001298/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VHV623A3.POSITION_VALID.PVFL",152840918649864220,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001298/ValvePosition/properties/status/valid"
"D550_VY621-1.STATE.PVFL",152840919003234340,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001299/ValvePosition/properties/status/logicalPosition/open"
"D550_VY621-1.PERCENTAGE _OPEN.PV",152840919003037730,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001299/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VY621-1.POSITION_VALID.PVFL",152840919002906660,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001299/ValvePosition/properties/status/valid"
"D550_VY621-2.STATE.PVFL",152840919018438700,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129A/ValvePosition/properties/status/logicalPosition/open"
"D550_VY621-2.PERCENTAGE _OPEN.PV",152840919018242080,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129A/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VY621-2.POSITION_VALID.PVFL",152840919018111000,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129A/ValvePosition/properties/status/valid"
"D550_VPI865_1.STATE.PVFL",152840918637609000,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129B/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI865_1.PERCENTAGE _OPEN.PV",152840918637412380,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129B/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI865_1.POSITION_VALID.PVFL",152840918637281300,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129B/ValvePosition/properties/status/valid"
"D550_VPI865_2.STATE.PVFL",152840918599663650,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129C/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI865_2.PERCENTAGE _OPEN.PV",152840918599467040,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129C/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI865_2.POSITION_VALID.PVFL",152840918599335970,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129C/ValvePosition/properties/status/valid"
"D550_VPI865_3.STATE.PVFL",152840918615326750,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129D/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI865_3.PERCENTAGE _OPEN.PV",152840918615130140,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129D/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI865_3.POSITION_VALID.PVFL",152840918614999070,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129D/ValvePosition/properties/status/valid"
"D550_VPI867_1.STATE.PVFL",152840918925049900,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129E/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI867_1.PERCENTAGE _OPEN.PV",152840918924853280,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129E/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI867_1.POSITION_VALID.PVFL",152840918924722200,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129E/ValvePosition/properties/status/valid"
"D550_VPI867_2.STATE.PVFL",152840918958014500,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129F/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI867_2.PERCENTAGE _OPEN.PV",152840918957817900,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129F/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI867_2.POSITION_VALID.PVFL",152840918957686820,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB100129F/ValvePosition/properties/status/valid"
"D550_VPI867_3.STATE.PVFL",152840918959849500,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A0/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI867_3.PERCENTAGE _OPEN.PV",152840918959652900,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A0/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI867_3.POSITION_VALID.PVFL",152840918959521820,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A0/ValvePosition/properties/status/valid"
"D550_VPI906A.STATE.PVFL",152840918581575700,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A1/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI906A.PERCENTAGE _OPEN.PV",152840918581379100,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A1/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI906A.POSITION_VALID.PVFL",152840918581248030,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A1/ValvePosition/properties/status/valid"
"D550_VLI6502A1-2.STATE.PVFL",152840918626467870,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A2/ValvePosition/properties/status/logicalPosition/open"
"D550_VLI6502A1-2.PERCENTAGE _OPEN.PV",152840918626271260,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A2/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VLI6502A1-2.POSITION_VALID.PVFL",152840918626140200,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A2/ValvePosition/properties/status/valid"
"D550_VPI906B.STATE.PVFL",152840918671228960,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A3/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI906B.PERCENTAGE _OPEN.PV",152840918671032350,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A3/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI906B.POSITION_VALID.PVFL",152840918670901280,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A3/ValvePosition/properties/status/valid"
"D550_VBX5986_1.STATE.PVFL",152840918664347680,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A4/ValvePosition/properties/status/logicalPosition/open"
"D550_VBX5986_1.PERCENTAGE _OPEN.PV",152840918664151070,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A4/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VBX5986_1.POSITION_VALID.PVFL",152840918664020000,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A4/ValvePosition/properties/status/valid"
"D550_VLI6502A1-1.STATE.PVFL",152840918597828640,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A5/ValvePosition/properties/status/logicalPosition/open"
"D550_VLI6502A1-1.PERCENTAGE _OPEN.PV",152840918597632030,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A5/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VLI6502A1-1.POSITION_VALID.PVFL",152840918597500960,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A5/ValvePosition/properties/status/valid"
"D550_3585-13.STATE.PVFL",152840918727393300,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB10012A6/ValvePosition/properties/status/logicalPosition/open"
